Training: 2021-04-08 20:10:02,265-Speed 1818.10 samples/sec   Loss 46.4101   Epoch: 0   Global Step: 300   Required: 24 hours
Training: 2021-04-08 20:10:16,303-Speed 1823.70 samples/sec   Loss 46.1248   Epoch: 0   Global Step: 350   Required: 23 hours
Training: 2021-04-08 20:10:30,024-Speed 1865.82 samples/sec   Loss 45.8148   Epoch: 0   Global Step: 400   Required: 23 hours
Training: 2021-04-08 20:10:44,131-Speed 1814.75 samples/sec   Loss 45.6283   Epoch: 0   Global Step: 450   Required: 23 hours
Training: 2021-04-08 20:10:58,149-Speed 1826.36 samples/sec   Loss 45.4729   Epoch: 0   Global Step: 500   Required: 23 hours
Training: 2021-04-08 20:11:11,869-Speed 1865.89 samples/sec   Loss 45.2230   Epoch: 0   Global Step: 550   Required: 23 hours
Training: 2021-04-08 20:11:25,590-Speed 1865.78 samples/sec   Loss 44.9710   Epoch: 0   Global Step: 600   Required: 23 hours
Training: 2021-04-08 20:11:39,313-Speed 1865.56 samples/sec   Loss 44.6321   Epoch: 0   Global Step: 650   Required: 23 hours
Training: 2021-04-08 20:11:53,483-Speed 1806.78 samples/sec   Loss 44.3188   Epoch: 0   Global Step: 700   Required: 23 hours
Training: 2021-04-08 20:12:07,349-Speed 1846.32 samples/sec   Loss 44.0330   Epoch: 0   Global Step: 750   Required: 23 hours
Training: 2021-04-08 20:12:21,281-Speed 1837.51 samples/sec   Loss 43.7468   Epoch: 0   Global Step: 800   Required: 23 hours
Training: 2021-04-08 20:12:35,200-Speed 1839.28 samples/sec   Loss 43.5069   Epoch: 0   Global Step: 850   Required: 23 hours
Training: 2021-04-08 20:12:49,135-Speed 1837.22 samples/sec   Loss 43.2919   Epoch: 0   Global Step: 900   Required: 23 hours
Training: 2021-04-08 20:13:02,933-Speed 1855.35 samples/sec   Loss 43.0202   Epoch: 0   Global Step: 950   Required: 23 hours
Training: 2021-04-08 20:13:16,673-Speed 1863.23 samples/sec   Loss 42.6357   Epoch: 0   Global Step: 1000   Required: 23 hours
Training: 2021-04-08 20:13:30,432-Speed 1860.63 samples/sec   Loss 42.4297   Epoch: 0   Global Step: 1050   Required: 23 hours
Training: 2021-04-08 20:13:44,155-Speed 1865.67 samples/sec   Loss 42.1108   Epoch: 0   Global Step: 1100   Required: 23 hours
Training: 2021-04-08 20:13:57,901-Speed 1862.35 samples/sec   Loss 41.7845   Epoch: 0   Global Step: 1150   Required: 23 hours
Training: 2021-04-08 20:14:11,640-Speed 1863.39 samples/sec   Loss 41.4637   Epoch: 0   Global Step: 1200   Required: 23 hours
Training: 2021-04-08 20:14:25,480-Speed 1849.79 samples/sec   Loss 41.0868   Epoch: 0   Global Step: 1250   Required: 23 hours
Training: 2021-04-08 20:14:39,412-Speed 1837.55 samples/sec   Loss 40.9022   Epoch: 0   Global Step: 1300   Required: 23 hours
Training: 2021-04-08 20:14:53,335-Speed 1838.72 samples/sec   Loss 40.4378   Epoch: 0   Global Step: 1350   Required: 23 hours
Training: 2021-04-08 20:15:07,237-Speed 1841.56 samples/sec   Loss 40.1006   Epoch: 0   Global Step: 1400   Required: 23 hours
Training: 2021-04-08 20:15:21,000-Speed 1860.18 samples/sec   Loss 39.7616   Epoch: 0   Global Step: 1450   Required: 23 hours
Training: 2021-04-08 20:15:34,721-Speed 1865.83 samples/sec   Loss 39.4347   Epoch: 0   Global Step: 1500   Required: 23 hours
Training: 2021-04-08 20:15:48,589-Speed 1846.13 samples/sec   Loss 39.0149   Epoch: 0   Global Step: 1550   Required: 23 hours
Training: 2021-04-08 20:16:02,304-Speed 1866.62 samples/sec   Loss 38.7144   Epoch: 0   Global Step: 1600   Required: 23 hours
Training: 2021-04-08 20:16:16,423-Speed 1813.16 samples/sec   Loss 38.3719   Epoch: 0   Global Step: 1650   Required: 23 hours
Training: 2021-04-08 20:16:30,159-Speed 1863.81 samples/sec   Loss 37.8665   Epoch: 0   Global Step: 1700   Required: 23 hours
Training: 2021-04-08 20:16:43,884-Speed 1865.38 samples/sec   Loss 37.5543   Epoch: 0   Global Step: 1750   Required: 23 hours
Training: 2021-04-08 20:16:57,908-Speed 1825.42 samples/sec   Loss 37.2398   Epoch: 0   Global Step: 1800   Required: 23 hours
